X,Y,Bin_Type,Bin_code
147.3258177,-42.88139342,120lt Cage General Waste,W
147.326791,-42.88107032,120lt Cage General Waste,W
147.3286157,-42.88154659,120lt Cage General Waste,W
147.3282184,-42.88128259,120lt Cage General Waste,W
147.3285408,-42.88136183,120lt Cage General Waste,W
147.3296645,-42.88768165,120lt Cage General Waste,W
147.3156595,-42.89153074,120lt Cage General Waste,W
147.3295347,-42.88679616,120lt Cage General Waste,W
147.3293629,-42.87959594,120lt Cage General Waste,W
147.3159266,-42.87362255,120lt Cage General Waste,W
147.3154521,-42.87332447,120lt Cage General Waste,W
147.3332438,-42.89592347,120lt Cage General Waste,W
147.3151639,-42.87299906,120lt Cage General Waste,W
147.3459122,-42.90830844,120lt Cage General Waste,W
147.3303458,-42.88246647,120lt Cage General Waste,W
147.3192886,-42.878003,120lt Cage General Waste,W
147.3159551,-42.87417721,120lt Cage General Waste,W
147.3310894,-42.87998028,120lt Cage General Waste,W
147.3303592,-42.87952868,120lt Cage General Waste,W
147.3160077,-42.87394373,120lt Cage General Waste,W
147.3164917,-42.874149,120lt Cage General Waste,W
147.3290273,-42.88178437,120lt Cage General Waste,W
147.3335393,-42.8946353,120lt Cage General Waste,W
147.3133048,-42.88205505,120lt Cage General Waste,W
147.3125223,-42.88203791,120lt Cage General Waste,W
147.3038846,-42.8641439,120lt Cage General Waste,W
147.3294191,-42.87926068,120lt Cage General Waste,W
147.3373842,-42.88769521,120lt Cage General Waste,W
147.3272459,-42.89468572,120lt Cage General Waste,W
147.3289853,-42.89574015,120lt Cage General Waste,W
147.3273732,-42.89498462,120lt Cage General Waste,W
147.3278442,-42.89531799,120lt Cage General Waste,W
147.3332536,-42.89502699,120lt Cage General Waste,W
147.3308661,-42.87809164,120lt Cage General Waste,W
147.3189009,-42.87707846,120lt Cage General Waste,W
147.3185714,-42.87690926,120lt Cage General Waste,W
147.3294142,-42.88582479,120lt Cage General Waste,W
147.3288076,-42.88634457,120lt Cage General Waste,W
147.3285364,-42.88685928,120lt Cage General Waste,W
147.3278845,-42.8862321,120lt Cage General Waste,W
147.3287805,-42.88545247,120lt Cage General Waste,W
147.3256735,-42.88478332,120lt Cage General Waste,W
147.3263239,-42.88427455,120lt Cage General Waste,W
147.3270405,-42.88366565,120lt Cage General Waste,W
147.3303126,-42.88311936,120lt Cage General Waste,W
147.3305143,-42.88322825,120lt Cage General Waste,W
147.3321879,-42.88142472,120lt Cage General Waste,W
147.323095,-42.88512136,120lt Cage General Waste,W
147.3193245,-42.85337261,120lt Cage General Waste,W
147.2791631,-42.86572884,120lt Cage General Waste,W
147.3169656,-42.8743461,120lt Cage General Waste,W
147.3094232,-42.89457964,120lt Cage General Waste,W
147.3093591,-42.89548743,120lt Cage General Waste,W
147.3090755,-42.89517973,120lt Cage General Waste,W
147.3345861,-42.88982767,120lt Cage General Waste,W
147.3350657,-42.88910089,120lt Cage General Waste,W
147.319915,-42.89213913,120lt Cage General Waste,W
147.3203555,-42.89283944,120lt Cage General Waste,W
147.3262788,-42.89457681,120lt Cage General Waste,W
147.3261016,-42.89440507,120lt Cage General Waste,W
147.3330619,-42.89564072,120lt Cage General Waste,W
147.3423733,-42.90667717,120lt Cage General Waste,W
147.3558514,-42.90944328,120lt Cage General Waste,W
147.3282499,-42.88268859,120lt Cage General Waste,W
147.3255801,-42.88267334,120lt Cage General Waste,W
147.3265064,-42.88170264,120lt Cage General Waste,W
147.3265231,-42.88164585,120lt Cage General Waste,W
147.3190449,-42.85366811,120lt Cage General Waste,W
147.3192331,-42.85358826,120lt Cage General Waste,W
147.3171558,-42.85217012,120lt Cage General Waste,W
147.3161496,-42.89248139,120lt Cage General Waste,W
147.3158803,-42.89273954,120lt Cage General Waste,W
147.2881409,-42.86180195,120lt Cage General Waste,W
147.2888684,-42.86162251,120lt Cage General Waste,W
147.2886381,-42.86158817,120lt Cage General Waste,W
147.2883448,-42.85934726,120lt Cage General Waste,W
147.322677,-42.86562307,120lt Cage General Waste,W
147.3192592,-42.85513687,120lt Cage General Waste,W
147.3187345,-42.85487049,120lt Cage General Waste,W
147.3194236,-42.85393279,120lt Cage General Waste,W
147.3193816,-42.85311189,120lt Cage General Waste,W
147.3036751,-42.85651881,120lt Cage General Waste,W
147.3117204,-42.85132144,120lt Cage General Waste,W
147.3052543,-42.85457531,120lt Cage General Waste,W
147.3029876,-42.86327664,120lt Cage General Waste,W
147.3210838,-42.89566697,120lt Cage General Waste,W
147.3211928,-42.8956246,120lt Cage General Waste,W
147.3060452,-42.85468162,120lt Cage General Waste,W
147.2937614,-42.89523845,120lt Cage General Waste,W
147.3328283,-42.90594281,120lt Cage General Waste,W
147.3262099,-42.89304648,120lt Cage General Waste,W
147.2975727,-42.85268264,120lt Cage General Waste,W
147.3219621,-42.87760592,120lt Cage General Waste,W
147.3197235,-42.87267171,120lt Cage General Waste,W
147.3186915,-42.87270941,120lt Cage General Waste,W
147.2933025,-42.90674947,120lt Cage General Waste,W
147.2927604,-42.90782347,120lt Cage General Waste,W
147.2913431,-42.90841128,120lt Cage General Waste,W
147.3263876,-42.86370595,120lt Cage General Waste,W
147.3193783,-42.89426328,120lt Cage General Waste,W
147.3026635,-42.86361786,120lt Cage General Waste,W
147.3329144,-42.88734686,120lt Cage General Waste,W
147.332676,-42.8873358,120lt Cage General Waste,W
147.3321087,-42.88712449,120lt Cage General Waste,W
147.3544233,-42.91080948,120lt Cage General Waste,W
147.330639,-42.92460211,120lt Cage General Waste,W
147.3007024,-42.86063682,120lt Cage General Waste,W
147.3006607,-42.85351787,120lt Cage General Waste,W
147.2972015,-42.85307403,120lt Cage General Waste,W
147.2974155,-42.85289517,120lt Cage General Waste,W
147.2877827,-42.86176245,120lt Cage General Waste,W
147.2885152,-42.86186373,120lt Cage General Waste,W
147.2850541,-42.90921242,120lt Cage General Waste,W
147.2857067,-42.90946937,120lt Cage General Waste,W
147.2872549,-42.90940511,120lt Cage General Waste,W
147.2878891,-42.90960506,120lt Cage General Waste,W
147.2881548,-42.90919509,120lt Cage General Waste,W
147.2907194,-42.90876722,120lt Cage General Waste,W
147.3160106,-42.87355466,120lt Cage General Waste,W
147.3157035,-42.87328929,120lt Cage General Waste,W
147.3150545,-42.87268596,120lt Cage General Waste,W
147.335945,-42.87617273,120lt Cage General Waste,W
147.3318894,-42.8757402,120lt Cage General Waste,W
147.3320007,-42.87595339,120lt Cage General Waste,W
147.33217,-42.87578724,120lt Cage General Waste,W
147.3245692,-42.87061483,120lt Cage General Waste,W
147.3243638,-42.8681944,120lt Cage General Waste,W
147.3245475,-42.8680512,120lt Cage General Waste,W
147.3243773,-42.86806212,120lt Cage General Waste,W
147.3245753,-42.86793628,120lt Cage General Waste,W
147.3247504,-42.86793577,120lt Cage General Waste,W
147.3328793,-42.87622055,120lt Cage General Waste,W
147.3329679,-42.87607199,120lt Cage General Waste,W
147.3267442,-42.87878696,120lt Cage General Waste,W
147.300483,-42.86022138,120lt Cage General Waste,W
147.3212524,-42.86269572,120lt Cage General Waste,W
147.3233727,-42.86345704,120lt Cage General Waste,W
147.3271323,-42.87039309,120lt Cage General Waste,W
147.3310261,-42.87761314,120lt Cage General Waste,W
147.3320284,-42.87700225,120lt Cage General Waste,W
147.3249357,-42.86784108,120lt Cage General Waste,W
147.3251416,-42.86771063,120lt Cage General Waste,W
147.3352338,-42.87543365,120lt Cage General Waste,W
147.327918,-42.87274932,120lt Cage General Waste,W
147.2955905,-42.8950747,120lt Cage General Waste,W
147.311846,-42.85126421,120lt Cage General Waste,W
147.3372875,-42.89220976,120lt Cage General Waste,W
147.2974771,-42.85278619,120lt Cage General Waste,W
147.3196407,-42.87237163,120lt Cage General Waste,W
147.3043915,-42.86385813,120lt Cage General Waste,W
147.304258,-42.86397478,120lt Cage General Waste,W
147.3311469,-42.88578864,120lt Cage General Waste,W
147.3309805,-42.8862086,120lt Cage General Waste,W
147.3312633,-42.88567928,120lt Cage General Waste,W
147.3313073,-42.88527686,120lt Cage General Waste,W
147.3360866,-42.88781863,120lt Cage General Waste,W
147.3372932,-42.88731264,120lt Cage General Waste,W
147.3374339,-42.88811684,120lt Cage General Waste,W
147.3366006,-42.88813488,120lt Cage General Waste,W
147.3374541,-42.8882561,120lt Cage General Waste,W
147.3100149,-42.86404076,120lt Cage General Waste,W
147.3544045,-42.91058303,120lt Cage General Waste,W
147.3542947,-42.91078126,120lt Cage General Waste,W
147.2790912,-42.85905249,120lt Cage General Waste,W
147.3017884,-42.86865284,120lt Cage General Waste,W
147.2923335,-42.8658549,120lt Cage General Waste,W
147.3559891,-42.91033617,120lt Cage General Waste,W
147.3559932,-42.91034185,120lt Cage General Waste,W
147.3565168,-42.91017538,120lt Cage General Waste,W
147.3570874,-42.91007937,120lt Cage General Waste,W
147.3596809,-42.91380672,120lt Cage General Waste,W
147.3606233,-42.9145687,120lt Cage General Waste,W
147.3606498,-42.91448354,120lt Cage General Waste,W
147.2776845,-42.86561249,120lt Cage General Waste,W
